Name,Address,Latitude,Longitude,Contact No.,Website,Google Rating
"Max Super Speciality Hospital, Patparganj","Patparganj, New Delhi, Delhi 110092, India",28.6331653,77.309926,+91 11 4910 1222,http://www.fortiscdoc.com/,3.5
"AIIMS, New Delhi","Ring Road, Ansari Nagar, Near AIIMS Metro Station, New Delhi, Delhi 110029, India",28.5678957,77.2095333,+91 11 4530 2222,http://www.fortishealthcare.com/,3.6
Institute of Liver and Biliary Sciences,"D-1, Vasant Kunj, New Delhi, Delhi 110070, India",28.50626,77.165051,+91 11 4601 8201,http://www.vardaan.net/,4
Rao Tularam Memorial Hospital,"Jaffarpur Kalan, South West Delhi, Delhi, 110073, India",28.5947387,76.9140943,Not Available,"https://www.nhp.gov.in/hospital/delhi-hospital,-adarsh-nagar-north_west-delhi",3.5
Metro Hospital & Heart Institute,"Block X-1, Vyapar Marg, Sector 12, Gautam Buddh Nagar, Noida, Uttar Pradesh 201301, India",28.597311,77.337677,+91 120 436 6666,http://www.metrohospitals.com/,3.3
Artemis Hospitals,"Plot No. 14, Sector 20, Dwarka, New Delhi, Delhi 110075, India",28.5698444,77.0644081,+91 11 7111 1000,http://www.artemishospitals.com/,2.9
Metro Hospital & Heart Institute,"H - Block, Palam Vihar, Gurugram, Haryana 122017, India",28.5180666,77.0390172,+91 124 477 7000,http://www.metrohospitals.com/group-hospitals/metro-hospital-heart-institute-gurgaon-haryana,2.8
St.Stephen's Hospital,"St. Stephen's Hospital Marg, Tis Hazari, New Delhi, Delhi 110054, India",28.6663929,77.2144514,+91 11 2395 8005,http://www.ststephenshospital.org/,3.2
Vardhman Mahavir Medical College and Safdarjung Hospital,"Ring Road, Opposite AIIMS Hospital, Safdarjung West, Safdarjung Campus, Ansari Nagar East, New Delhi, Delhi 110029, India",28.5685586,77.2030268,+91 11 2616 5060,http://www.vmmc-sjh.nic.in/,3.8
Lok Nayak Jai Prakash Narayan Hospital,"Near Delhi Gate, Jawaharlal Nehru Marg, New Delhi, Delhi 110002, India",28.6394296,77.2373055,+91 11 2323 2400,http://delhi.gov.in/wps/wcm/connect/doit_lnjp/LNJP/Home/About+Us/,3.5
"Burlington Clinic Pvt Ltd - Dr S K Jain, Best Sexologist in Delhi, India","CORPORATE CLINIC AND HEAD OFFICE 1021/18 Main Arya Samaj Road, Opp City Union Bank Building Karol Bagh Near Jahndewalan Metro Station, Central Delhi, Delhi, 110005, India",28.646487,77.195922,+91 90691 38357,http://burlingtonclinics.com/,2.8
Sunrise Hospital,"F-1, Kalindi Colony, New Delhi, Delhi 110065, India",28.577077,77.265937,+91 11 4882 0000,http://www.sunrisehospitals.in/doctors/nikita-trehan/,4.2
Saroj Super Speciality Hospital,"Near Madhuban Chowk, Sector 14, Rohini, Delhi, 110085, India",28.70613,77.129093,+91 11 4790 3333,http://www.sarojhospital.com/,3
Smile India Dental Clinic ( Dr. Abhinav Jindal ),"Plot no 7, Block A, Sec 19, Dwarka Nr. SEC 10 Metro station, Delhi -110075, India",28.5761377,77.0512996,+91 92128 22995,http://www.smileindiadentalclinic.co.in/,4.7
Dr Shroff Charity Eye Hospital,"5027, Kedarnath Road, Beside Vani Prakashan, Daryaganj, New Delhi, Delhi 110002, India",28.645873,77.2420112,+91 11 4352 4444,http://www.sceh.net/,4
Max Smart Super Specialty Hospital,"1,2 Press Enclave Road, Mandir Marg, Saket, New Delhi, Delhi 110017, India",28.5275106,77.213548,+91 11 7121 2121,http://www.maxhealthcare.in/hospital-network/max-smart-super-specialty-hospital-saket,3.3
Guru Teg Bahadur Hospital,"Dilshad Garden, Delhi, 110095, India",28.6838538,77.309906,+91 11 2258 6262,http://www.gtbh.delhigovt.nic.in/,3.8
Venkateshwar Hospital,"Sector 18A, Dwarka, Delhi, 110075, India",28.5888536,77.03766,+91 11 4855 5555,http://www.venkateshwarhospital.com/,3.9
Fortis Escorts Hospital,"Neelam Bata Road, Opp. Neelam Cinema, Faridabad, Haryana 121001, India",28.3914917,77.3067935,+91 129 246 6000,http://www.fortishealthcare.com/,3.1
Fortis India IVF Fertility Clinic Best Infertility centre India 0%EMI loan High success rate,"Fortis Flt Lt Rajan Dhall Hospital, Sector B, Pocket 1, Aruna Asaf Ali Marg,Vasant Kunj, New Delhi, Delhi 110070, India",28.519355,77.160306,+91 95602 83208,http://www.indiaivf.in/,4.8
Surrogacy Services India,"Advance Fertility and Gynaecology Centre 6, Ring Rd, Lajpat Nagar IV, New Delhi, Delhi 110024, India",28.565,77.234902,+91 97116 47526,http://www.surrogacyservices.net/,5
Rajiv Gandhi Super Speciality Hospital,"Tahirpur, New Delhi, Delhi 110093, India",28.689288,77.316582,+91 11 6525 2480,http://www.rajivgandhisuperspecialityhospital.org/,3.9
Manipal Hospitals Dwarka Pvt. Ltd.,"Palam Vihar, Sector 6, Dwarka, New Delhi, Delhi 110075, India",28.59515,77.0690437,+91 84710 67528,http://www.manipalhospitals.com/,3.7
World Brain Center Hospital,"Pankha Road,Opp Janak Cinema, Near Dabari Crossing, New Delhi, Delhi 110045, India",28.6122059,77.0885616,+91 11 2539 1266,http://www.wbcindia.in/,4.2
